id,created_at,text
1463450187423170565,2021-11-24 10:11:28+00:00,"Led by researchers @RCSIPharmBioMol, the findings
demonstrate why disruption of our body clock leads to inflammatory and infectious disease.

Read more @FrontImmunol. 
https://t.co/BHzg6OHAk7

#bodyclock #circadianrhythm #inflammation #infectiousdisease"
1463448422309113858,2021-11-24 10:04:28+00:00,"Researchers find new link between a disrupted body clock and inflammatory diseases
https://t.co/BSVWMjowXa"
1463440965864206337,2021-11-24 09:34:50+00:00,"What will happen if hospitals run out of intensive-care beds?

Prof. @Curleyger, Professor of Anaesthesia and Critical Care, talked to @drivetimerte about the latest surge in COVID-19 cases. 

#COVID19Ireland 
https://t.co/FM7ewupH66"
1463438789993545730,2021-11-24 09:26:11+00:00,"@HeidiHorizon Congratulations, Heidi! We hope you'll treat your study buddy to a well-deserved puppuccino to celebrate your #RCSIConferring.  🎓🍾"
1463242779199483917,2021-11-23 20:27:18+00:00,"@ruthie1988x Congratulations, Ruth! 🎓✨"
1463192114045542403,2021-11-23 17:05:59+00:00,"Now Live: Intensive Care Units under pressure 

Prof. @Curleyger, Professor of Anaesthesia and Critical Care, talks to @drivetimerte about the latest surge in COVID-19 cases.

► https://t.co/oztQWokG2Y #COVID19Ireland https://t.co/k97vtXPThS"
1463188146259210252,2021-11-23 16:50:13+00:00,"@ali_reyn @stjamesdublin What a perfect photo. 
Congratulations, Alison! We hope you all enjoyed your virtual conferring ceremony. 
🎓✨"
1463187756201484290,2021-11-23 16:48:40+00:00,"@kevoboyle Congratulations, @kevoboyle! We look forward to seeing you and your classmates on campus again when the time is right."
1463177760575270930,2021-11-23 16:08:57+00:00,"@LalorDarren @RCSI_Educate Thank you for joining us today, @LalorDarren. We're delighted to hear that you enjoyed the virtual #RCSIConferring."
1463172860093083658,2021-11-23 15:49:28+00:00,"@SarahFitzWiMIN @RCSI_il @maryecollins5 Congratulations, Sarah! 🎓✨"
1463159302588444701,2021-11-23 14:55:36+00:00,"More than 400 candidates will be conferred with primary and postgraduate awards at our virtual conferring ceremony today.

Join us live at 3pm. https://t.co/cdgeJCavj6
#RCSIConferring 🎓✨ https://t.co/EPT14HVvBu"
1463130745183088645,2021-11-23 13:02:07+00:00,"Join us tomorrow for the Innovation Showcase 2021 co-hosted with @TrinityResInnov  

Our expert panelists Profs. @sa_cryan and @fjobrien discuss next gen biomaterials for healthcare and  Richard Costello explores innovations for the connected patient.  

https://t.co/AernyoZmgh https://t.co/9q0aDdz31O"
1463108367795245065,2021-11-23 11:33:12+00:00,"@judem1975 @RCSI_il @RCSI_Nursing Congratulations, Jude! 🎓✨"
1463105387964551180,2021-11-23 11:21:22+00:00,"@Sarah_JaneByrne @RCSI_Nursing Congratulations, Sarah-Jane! 🎓✨

#RCSIConferring"
1463105168002764805,2021-11-23 11:20:29+00:00,"@meabhp @RCSI_FacNurMid Congratulations, @meabhp! 
🎓✨"
1463103803507499014,2021-11-23 11:15:04+00:00,"Watch: More than 750 graduands don caps and gowns to graduate virtually from the RCSI School of Nursing and Midwifery. 

https://t.co/5VR6CNFBPD @RCSI_Nursing 
#RCSIConferring🎓✨"
